class,E0mean,E90mean,Gmean,nu,fc0k,ft0k,ft90k,fc90k,fmk,frk,fvk,fhk,rho_k
C16,8000000000,300000000,500000000,0.35,17000000,8000000,400000,2000000,16000000,3000000,1800000,17500000,310
C24,11000000000,370000000,690000000,0.35,21000000,14000000,400000,2500000,24000000,4000000,2500000,21200000,420
GL28c,12600000000,420000000,850000000,0.35,26500000,19000000,600000,2700000,28000000,3800000,3500000,25000000,410
GL24h,11500000000,300000000,650000000,0.35,24000000,16500000,500000,2500000,24000000,0,3500000,20000000,380
GL28h,13100000000,300000000,650000000,0.35,28000000,19500000,500000,2500000,28000000,0,3500000,26500000,390
GL28cs,12500000000,300000000,650000000,0.35,24000000,19500000,500000,2500000,28000000,1200000,3500000,0,390
GL28hs,13100000000,300000000,650000000,0.35,28000000,22400000,500000,2500000,28000000,1200000,3500000,0,430
GL30c,13000000000,300000000,650000000,0.35,24500000,19500000,500000,2500000,30000000,1200000,3500000,0,390
GL30h,13600000000,300000000,650000000,0.35,30000000,24000000,500000,2500000,30000000,1200000,3500000,27000000,430
GL32h,14200000000,300000000,650000000,0.35,32000000,22500000,500000,2500000,32000000,0,3500000,29000000,440
